id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
1256,HOTEL DE VILLE,226,625,2023-09-06 09:12:57,2023-09-06 09:12:50,63.839999999999996,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:15:16,2023-09-06 09:15:16
1262,NOTRE DAME,268,642,2023-09-06 09:13:57,2023-09-06 09:14:03,58.25545171339564,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:17:46,2023-09-06 09:17:46
1275,BLOSSAC TISON,325,665,2023-09-06 09:20:57,2023-09-06 09:20:56,51.127819548872175,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 09:22:46,2023-09-06 09:22:46
1286,GARE TOUMAI,223,632,2023-09-06 09:23:00,2023-09-06 09:22:53,64.71518987341773,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:25:16,2023-09-06 09:25:16
1298,HOTEL DE VILLE,226,625,2023-09-06 09:28:31,2023-09-06 09:28:53,63.839999999999996,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:30:17,2023-09-06 09:30:17
56,PALAIS DE JUSTICE,78,70,2023-09-06 02:02:15,2023-09-06 02:02:20,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 02:04:27,2023-09-06 02:04:27
57,BLOSSAC TISON,483,665,2023-09-06 02:04:14,2023-09-06 02:04:34,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 02:06:57,2023-09-06 02:06:57
58,NOTRE DAME,468,642,2023-09-06 02:04:15,2023-09-06 02:04:34,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 02:06:57,2023-09-06 02:06:57
59,HOTEL DE VILLE,398,625,2023-09-06 02:04:15,2023-09-06 02:04:34,36.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 02:06:57,2023-09-06 02:06:57
60,THEATRE,227,320,2023-09-06 02:04:17,2023-09-06 02:04:34,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 02:06:57,2023-09-06 02:06:57
61,GARE TOUMAI,367,632,2023-09-06 02:04:15,2023-09-06 02:04:34,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 02:06:57,2023-09-06 02:06:57
62,ARRET MINUTE,93,137,2023-09-06 02:04:14,2023-09-06 02:04:34,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 02:06:57,2023-09-06 02:06:57
63,PALAIS DE JUSTICE,78,70,2023-09-06 02:04:15,2023-09-06 02:04:34,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 02:06:57,2023-09-06 02:06:57
64,BLOSSAC TISON,483,665,2023-09-06 02:06:15,2023-09-06 02:06:20,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 02:09:28,2023-09-06 02:09:28
65,NOTRE DAME,468,642,2023-09-06 02:06:15,2023-09-06 02:06:20,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 02:09:28,2023-09-06 02:09:28
66,HOTEL DE VILLE,399,625,2023-09-06 02:06:15,2023-09-06 02:06:20,36.16,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 02:09:28,2023-09-06 02:09:28
67,THEATRE,227,320,2023-09-06 02:06:17,2023-09-06 02:06:20,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 02:09:28,2023-09-06 02:09:28
68,GARE TOUMAI,367,632,2023-09-06 02:06:15,2023-09-06 02:06:20,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 02:09:28,2023-09-06 02:09:28
