id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
45,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:32,2023-09-04 23:23:32
46,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:32,2023-09-04 23:23:32
47,GARE TOUMAI,465,632,2023-09-04 23:20:07,2023-09-04 23:20:06,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:23:32,2023-09-04 23:23:32
48,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:32,2023-09-04 23:23:32
49,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:23:32,2023-09-04 23:23:32
3,HOTEL DE VILLE,441,625,2023-09-04 23:18:00,2023-09-04 23:19:00,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:21:46,2023-09-04 23:38:58
50,BLOSSAC TISON,486,665,2023-09-04 23:20:07,2023-09-04 23:20:06,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:23:37,2023-09-04 23:23:37
63,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:23:42,2023-09-04 23:23:42
66,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:47,2023-09-04 23:23:47
101,HOTEL DE VILLE,441,625,2023-09-04 23:22:07,2023-09-04 23:22:07,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:24:13,2023-09-04 23:24:13
108,HOTEL DE VILLE,441,625,2023-09-04 23:22:07,2023-09-04 23:22:07,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:24:18,2023-09-04 23:24:18
119,PALAIS DE JUSTICE,68,70,2023-09-04 23:22:08,2023-09-04 23:22:07,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:24:23,2023-09-04 23:24:23
1241,NOTRE DAME,232,642,2023-09-05 09:34:11,2023-09-05 09:34:20,63.862928348909655,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 09:36:19,2023-09-05 09:36:19
1247,BLOSSAC TISON,288,665,2023-09-05 09:36:10,2023-09-05 09:36:20,56.69172932330827,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 09:38:49,2023-09-05 09:38:49
1255,NOTRE DAME,233,642,2023-09-05 09:38:42,2023-09-05 09:38:44,63.70716510903427,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 09:41:19,2023-09-05 09:41:19
1267,PALAIS DE JUSTICE,44,70,2023-09-05 09:40:13,2023-09-05 09:40:21,37.142857142857146,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-05 09:43:50,2023-09-05 09:43:50
1276,NOTRE DAME,233,642,2023-09-05 09:46:13,2023-09-05 09:46:23,63.70716510903427,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 09:48:51,2023-09-05 09:48:51
1283,NOTRE DAME,232,642,2023-09-05 09:48:15,2023-09-05 09:48:23,63.862928348909655,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-05 09:51:21,2023-09-05 09:51:21
1294,ARRET MINUTE,28,137,2023-09-05 09:50:14,2023-09-05 09:50:31,79.56204379562044,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-05 09:53:52,2023-09-05 09:53:52
